Sample,r,alpha,beta,k,Antag_Lag,Collapse_Lag
192,0.007740537573786604,0.007657251790960461,0.0032362128171666213,0.025933591800964627,76.0,93.10000000000002
193,0.008573620721532949,0.008222828935512029,0.0026495685632596864,0.02572170151922428,75.70000000000002,86.4
194,0.007994219388296352,0.0072688964037608255,0.0032675658292015985,0.02085292281716793,99.60000000000002,133.70000000000002
195,0.008268978767128132,0.008000068278884397,0.0031980328828914665,0.024286621953868232,80.0,99.0
196,0.009523660800061168,0.007596129997532092,0.0027766191530162574,0.022221414994592396,97.30000000000001,121.0
197,0.008140313835363849,0.008419013763000662,0.0030750526152895086,0.022606951403177842,81.80000000000001,100.20000000000002
198,0.008897415669839157,0.008506387514126582,0.0026880162628044723,0.02390274652579741,79.9,93.0
199,0.009015899432988056,0.0077507720297279575,0.002566299165438756,0.02590114612351962,81.10000000000002,93.5
200,0.010166719362705752,0.007646549663075718,0.003176985741489203,0.026253270674429296,82.80000000000001,104.20000000000002
201,0.009559544312646176,0.006718212846557088,0.003068659524150132,0.02404593817421616,99.80000000000001,131.0
202,0.008795152812516442,0.008031999530155626,0.0033909303132921126,0.026274723905218365,74.60000000000002,93.30000000000001
203,0.008867266302791155,0.006629785603141699,0.003436357079066101,0.025668897624257076,91.30000000000001,122.70000000000002
204,0.00798658923924882,0.008446894235889086,0.003332906725855915,0.02343167801931124,77.5,96.60000000000002
205,0.009246443676511309,0.0072727560837077924,0.002599285474939828,0.022148028719104845,101.10000000000002,124.0
206,0.00981770431121463,0.006385422051760356,0.0028501492545220295,0.022588199168200693,112.4,149.10000000000002
207,0.00910096812793239,0.00844467513692871,0.002861711394929365,0.022230202881254633,86.80000000000001,105.4
208,0.009641253369896319,0.007392490367002066,0.0027521443406459834,0.02296755221776753,97.10000000000002,120.30000000000001
209,0.008030313955025459,0.006771870719639002,0.0029985309954655317,0.02273328889203679,98.80000000000001,127.10000000000002
210,0.01012008393288387,0.007190386273012424,0.0030725295152502392,0.02422452737255752,95.0,122.80000000000001
211,0.0076853550327885,0.007867959087037598,0.0027102323701827763,0.02652288151911149,73.4,83.4
212,0.008051389364933404,0.007307904278385803,0.0026268147012707796,0.02677315102040317,79.5,91.4
213,0.009005926527894352,0.0077146162889700975,0.0026103688296495843,0.025047223688090252,84.10000000000002,98.30000000000001
